Time,BallX,BallY,VelX,VelY,Pitch,Roll,TargetX,TargetY
1475,-50,322,-28034.911779376223,-38213.78980053671,0.2879793265790644,-0.2879793265790644,0,0
1509,-55,333,-1171.863909734621,8139.857781966766,0.22615012942235782,-0.06211256658088791,0,0
1542,-61,331,43.52495003682753,343.5934687820881,0.1283053944008993,-0.07450711883553665,0,0
1575,-64,327,-77.22015335914344,43.3382914414195,0.1158071019271357,-0.05223766543874066,0,0
1606,-69,317,75.81161731432397,186.64138178585242,0.0646169286786265,-0.0730305345626023,0,0
1640,-70,286,-110.88649577692819,571.0108527315665,-0.1023243708006769,-0.04061164863223454,0,0
1674,-68,242,-76.00000975553326,354.53085600385174,-0.2087127270682359,-0.017805407716149687,0,0
1708,-66,191,-0.7242393639459798,275.2353542297934,-0.2879793265790644,-0.017593529747030646,0,0
1740,-60,136,-123.11984231108752,242.31803604629826,-0.2879793265790644,0.017036051174927753,0,0
1772,-48,79,-179.0326365360888,104.95574618367274,-0.2879793265790644,0.06822049803468047,0,0
1805,-33,26,-99.47369606657224,-49.475959846888856,-0.2879793265790644,0.09684264457850089,0,0
1839,-16,-24,-75.44921201046844,-18.682708246132304,-0.2879793265790644,0.11863763992839359,0,0
1872,4,-76,-102.25699441597412,112.12542816781092,-0.2879793265790644,0.14851019318985192,0,0
1905,29,-124,-195.83810447693241,3.9151548534648803,-0.2879793265790644,0.20397931239356992,0,0
1939,60,-168,-151.3384672007351,-115.06056941069089,-0.2879793265790644,0.24972263243500023,0,0
1970,95,-213,-274.2491167622114,242.05681193647035,-0.2879793265790644,0.2879793265790644,0,0
2004,136,-254,-151.538456328198,-129.55206239098953,-0.2879793265790644,0.2879793265790644,0,0
2037,169,-299,143.90289491988952,214.2425439390363,-0.2879793265790644,0.2879793265790644,0,0
2070,222,-325,-617.0142653074853,-481.439315127387,-0.2879793265790644,0.2879793265790644,0,0
2103,264,-337,226.5441161576522,-348.57353998991766,-0.21611157214556942,0.2879793265790644,0,0
2138,289,-348,428.19484746211697,-7.670355428074926,-0.21379236094799026,0.2879793265790644,0,0
2268,162,-345,-34810.018657812056,-20238.411872302775,-0.2879793265790644,0.2879793265790644,0,0
2301,100,-336,6257.680152097643,-9741.427920754306,-0.07013420484231501,-0.2879793265790644,0,0
2334,68,-342,-791.0538467203556,442.2356239738368,-0.19685217434805014,-0.22368672853138882,0,0
2532,-76,-336,-27593.31678241901,-20330.66067756557,-0.2879793265790644,-0.2879793265790644,0,0
2567,-89,-315,-1594.9472270450303,-9067.974277510884,0.02322948190067354,-0.1344207532584776,0,0
2631,-133,-318,-26622.277798831434,-21171.356086059182,-0.2879793265790644,-0.2879793265790644,0,0
2664,-158,-315,-2971.4460256669195,-8931.669292553352,-0.1089031842354024,-0.2650468360790312,0,0
